review_text,processed_text,label,hotel,polarity,source
"We stayed for a one night getaway with family on a thursday. Triple AAA rate of 173 was a steal. 7th floor room complete with 44in plasma TV bose stereo, voss and evian water, and gorgeous bathroom(no tub but was fine for us) Concierge was very helpful. You cannot beat this location... Only flaw was breakfast was pricey and service was very very slow(2hours for four kids and four adults on a friday morning) even though there were only two other tables in the restaurant. Food was very good so it was worth the wait. I would return in a heartbeat. A gem in chicago... 
",stayed one night getaway family thursday triple aaa rate steal floor room complete plasma tv bose stereo voss evian water gorgeou bathroom no tub but fine us concierge very helpful cannot beat location only flaw breakfast pricey service very very slow four kid four adult friday morning even though there only two other table restaurant food very good so worth wait would return heartbeat gem chicago,0,conrad,positive,TripAdvisor
"Triple A rate with upgrade to view room was less than $200 which also included breakfast vouchers. Had a great view of river, lake, Wrigley Bldg. & Tribune Bldg. Most major restaurants, Shopping, Sightseeing attractions within walking distance. Large room with a very comfortable bed. 
",triple rate upgrade view room less than which also included breakfast voucher had great view river lake wrigley bldg tribune bldg most major restaurant shopping sightseeing attraction within walking distance large room very comfortable bed,0,hyatt,positive,TripAdvisor
"This comes a little late as I'm finally catching up on my reviews from the past several months:) A dear friend and I stayed at the Hyatt Regency in late October 2007 for one night while visiting a friend and her husband from out of town. This hotel is perfect, IMO. Easy check in and check out. Lovely, clean, comfortable rooms with great views of the city. I know this area pretty well and it's very convenient to many downtown Chicago attractions. We had dinner and went clubing with our friends around Division St.. We had no problems getting cabs back and forth to the Hyatt and there's even public transportation right near by but we didn't bother since we only needed cabs from and to the hotel. Parking, as is usual for Chicago, was expensive but we were able to get our car out quickly (however, we left on a Sunday morning, not exactly a high traffic time although it was a Bears homegame day, so a bit busier than usual I would think). No problems at all and the best part is that we got a rate of $100 through Hotwire, a downright steal for this area of Chicago and the quality of the hotel. 
",come little late m finally catching up review past several month dear friend stayed hyatt regency late october one night while visiting friend her husband out town hotel perfect imo easy check check out lovely clean comfortable room great view city know area pretty well s very convenient many downtown chicago attraction had dinner went clubing our friend around division st had no problem getting cab back forth hyatt there s even public transportation right near but didn t bother since only needed cab hotel parking usual chicago expensive but able get our car out quickly however left sunday morning not exactly high traffic time although bear homegame day so bit busier than usual would think no problem all best part got rate through hotwire downright steal area chicago quality hotel,0,hyatt,positive,TripAdvisor
"The Omni Chicago really delivers on all fronts, from the spaciousness of the rooms to the helpful staff to the prized location on Michigan Avenue. While this address in Chicago requires a high level of quality, the Omni delivers. Check in for myself and a whole group of people with me was under 3 minutes, the staff had plentiful recommendations for dining and events, and the rooms are some of the largest you'll find at this price range in Chicago. Even the 'standard' room has a separate living area and work desk. The fitness center has free weights, weight machines, and two rows of cardio equipment. I shared the room with 7 others and did not feel cramped in any way! All in all, a great property! 
",omni chicago really deliver all front spaciousness room helpful staff prized location michigan avenue while address chicago require high level quality omni deliver check myself whole group people under minute staff had plentiful recommendation dining event room some largest ll find price range chicago even standard room separate living area work desk fitness center free weight weight machine two row cardio equipment shared room other did not feel cramped any way all all great property,0,omni,positive,TripAdvisor
"I asked for a high floor away from the elevator and that is what I got. The room was pleasantly decorated, functional and very clean. I didn't need a whole lot of service but when I did they were pleasant and prompt. I used the fitness center which was well equipped and everything was in working order. It is in a great location at one end of the Michigan Avenue shopping district. 
",asked high floor away elevator what got room pleasantly decorated functional very clean didn t need whole lot service but when did they pleasant prompt used fitness center which well equipped everything working order great location one end michigan avenue shopping district,0,hyatt,positive,TripAdvisor
"I stayed at the Omni for one night following a business meeting at another downtown Chicago hotel. I was completely impressed by the service; all personnel during my stay were absolutely outstanding. I checked in quite early (no problem) and was efficiently checked in. My room had a somewhat heavy scent of air freshener (the ONLY negative from the entire stay), which was managed reasonably well by opening the windows. I don't generally require much during my hotel stays, but suffice to say the doorman, housekeeping, the night manager and bartender at 676, the day waiter at 676, and the concierge were amazing - I never waited more than about 30 seconds for anything. The room was very comfy and the amenities were superior. One very tiny complaint - there was no wastebasket near the sink or near the wet bar - had to walk to the other end of the bathroom or sitting room to dispose of kleenex/coffee paraphernalia. One wastebasket would make all the difference. All that said - what a great hotel!! Thanks, Omni - I had a great stay! 
",stayed omni one night following business meeting another downtown chicago hotel completely impressed service all personnel during stay absolutely outstanding checked quite early no problem efficiently checked room had somewhat heavy scent air freshener only negative entire stay which managed reasonably well opening window don t generally require much during hotel stay but suffice say doorman housekeeping night manager bartender day waiter concierge amazing never waited more than about second anything room very comfy amenity superior one very tiny complaint there no wastebasket near sink near wet bar had walk other end bathroom sitting room dispose kleenex coffee paraphernalia one wastebasket would make all difference all said what great hotel thank omni had great stay,0,omni,positive,TripAdvisor
"We stayed in the Conrad for 4 nights just before Thanksgiving. We had a corner room overlooking N Michigan Av and the Tribune Building. To say this is a 5 star hotel is to damn this place with faint praise - it is wonderful. The staff were unbelievably helpful. The standard of the room was superb - HD plasma screens, luxury bedlinens, iPod radio, huge bathroom. Location is unbeatable - right in the heart of everything - watched the whole Light Festival parade from the window. Breakfasts were excellent - no help yourself buffet here - with full and attentive table service. Would have no hesitation recommending or staying again in this hotel - 5 out of 5. 
",stayed conrad night just before thanksgiving had corner room overlooking n michigan av tribune building say star hotel damn place faint praise wonderful staff unbelievably helpful standard room superb hd plasma screen luxury bedlinen ipod radio huge bathroom location unbeatable right heart everything watched whole light festival parade window breakfast excellent no help yourself buffet here full attentive table service would have no hesitation recommending staying again hotel out,0,conrad,positive,TripAdvisor
"Just got back from 2 days up in Chicago shopping with girlfriends. First time I have stayed at the Omni. I did so because I saw a $129.00 rate that included $25.00 of free food on Travelzoo. The three of us (55 year olds) all stayed in one suite with 2 double beds and a VERY comfortable pull out sofa. We had plenty of room. Food in the restaurant was great, service was outstanding from everone we came into contact with, early morning delivery of free coffee, juice and hot chocolate was fabulous and recommendations from the staff on where to eat, time of movies, shopping areas, etc was really helpful. Need I mention the outstanding location? Simply the best! We all decided that the Omni is our new favorite hotel. 
",just got back day up chicago shopping girlfriend first time have stayed omni did so because saw rate included free food travelzoo three us year old all stayed one suite double bed very comfortable pull out sofa had plenty room food restaurant great service outstanding everone came into contact early morning delivery free coffee juice hot chocolate fabulou recommendation staff where eat time movy shopping area etc really helpful need mention outstanding location simply best all decided omni our new favorite hotel,0,omni,positive,TripAdvisor
"We arrived at the Omni on 2nd September for a 6 day stay. I took ill when I left the plane after travelling from Manchester so I saw more of the room than I anticipated. I couldn't go out for 4 days. The room was spacious and clean. The bed was extremely comfortable. The bathroom was large and very clean. What more could you ask. We had coffee and juice left outside our door every morning at the time we requested. I managed to go to the 5th floor to see the sun terrace (outside the gym) Having a sun terrace in a city hotel is a great idea but the terrace was a bit grim. A few sunbeds on a concrete floor. There was also noise from an air conditioning unit. It could do with a bit of cheering up. What I saw of Chicago was very pleasing, it has something for everyone. Would I go back to the Omni? yes I would. 
",arrived omni september day stay took ill when left plane after travelling manchester so saw more room than anticipated couldn t go out day room spaciou clean bed extremely comfortable bathroom large very clean what more could ask had coffee juice left outside our door every morning time requested managed go floor see sun terrace outside gym having sun terrace city hotel great idea but terrace bit grim few sunbed concrete floor there also noise air conditioning unit could do bit cheering up what saw chicago very pleasing something everyone would go back omni yes would,0,omni,positive,TripAdvisor
"On our visit to Chicago, we chose the Hyatt due to its location in downtown, within walking distance to most major attractions, such as Sears Tower, Magnificent Mile, Grant/Millenium Parks, etc. Subway & bus stops very close by to travel to other locations in the city . Overall the hotel was very nice, clean, and at a great location. Was in a safe area. Went to beautiful Wrigley Field and Soldier Field and saw both teams play. I love Chicago and would defenitely stay here again! 
",our visit chicago chose hyatt due location downtown within walking distance most major attraction such sear tower magnificent mile grant millenium park etc subway bus stop very close travel other location city overall hotel very nice clean great location safe area went beautiful wrigley field soldier field saw both team play love chicago would defenitely stay here again,0,hyatt,positive,TripAdvisor
